,name,address,lat,lon,coordinates,rating
1975,64 China Street Fritters,64 China Street Fritters - Maxwell Food Centre [Stall 64],1.2799784,103.8450924,"[1.2799784, 103.8450924]",3.3
1976,Qi Philosophy Cafe,Qi Philosophy Cafe - Skyterrace @ Dawson,1.294894,103.8118417,"[1.294894, 103.8118417]",4.3
1977,Crave,Crave - Tanjong Pagar Centre,1.2766343627201169,103.84501384792594,"[1.2766343627201169, 103.84501384792594]",4.5
1978,Tartini Grill and Pasta,Tartini Grill And Pasta - Tiong Bahru Plaza,1.2864147,103.826709975,"[1.2864147, 103.826709975]",4.0
1979,The Pau Shop By Kopitiam,The Pau Shop By Kopitiam - Tiong Bahru Plaza,1.2864576,103.8269544,"[1.2864576, 103.8269544]",2.1
1980,Eng's Wantan Noodle,Eng's Wantan Noodle - Tiong Bahru Plaza,1.28659157,103.82716288,"[1.28659157, 103.82716288]",4.2
1981,Ya Kun Kaya Toast,Ya Kun Kaya Toast - 100 AM,1.274646943902439,103.8435438,"[1.274646943902439, 103.8435438]",4.6
1982,Solo Ristorante,Solo Ristorante - Amoy Street [Islandwide Delivery],1.28041,103.84695,"[1.28041, 103.84695]",
1983,Soi Thai Soi Nice,Soi Thai Soi Nice - Alexandra Retail Centre,1.27408487223463,103.80153150833334,"[1.27408487223463, 103.80153150833334]",4.0
1984,Ching Seafood,Ching Seafood - Tiong Bahru View,1.2860572,103.8293833,"[1.2860572, 103.8293833]",4.1
1985,Bukit Merah View Food Centre,Bukit Merah View Food Centre,1.2852216666666667,103.8278752636292,"[1.2852216666666667, 103.8278752636292]",5.0
1986,Tubby Belly Rice Bowls,Tubby Belly Rice Bowls - Tiong Bahru Plaza,1.2866107795333337,103.82755117927049,"[1.2866107795333337, 103.82755117927049]",3.9
1987,Tongue Tip Lanzhou Beef Noodles,Tongue Tip Lanzhou Beef Noodles 舌尖尖 - Tiong Bahru Plaza #02-107 [Islandwide Delivery],1.2863641748845254,103.8277660030132,"[1.2863641748845254, 103.8277660030132]",4.4
1988,Cafe Pandan,Cafe Pandan - Outram Road,1.2846457,103.83505423998504,"[1.2846457, 103.83505423998504]",4.2
1989,Riverside Grilled Fish,Riverside Grilled Fish - Tiong Bahru Plaza,1.2864061471418893,103.82741470423042,"[1.2864061471418893, 103.82741470423042]",4.0
1990,Tian Fu Ren Jia,Tian Fu Ren Jia - Jalan Bukit Ho Swee,1.2880015,103.82696833333333,"[1.2880015, 103.82696833333333]",4.6
1991,Monster Curry,Monster Curry - 100AM,1.274696975,103.84355514736842,"[1.274696975, 103.84355514736842]",4.3
1992,Warafuuk,Warafuuk - Bukit Merah Central,1.283725,103.815771,"[1.283725, 103.815771]",5.0
1993,Dapur Ustaz,Dapur Ustaz - Bukit Merah Central,1.284057,103.816829,"[1.284057, 103.816829]",
1994,Boost Juice Bars,Boost Juice Bars - Tanjong Pagar Centre,1.2766666875,103.8451777,"[1.2766666875, 103.8451777]",4.9
1995,Maki-San,Maki-San - Tiong Bahru Plaza,1.2864517064170542,103.82772952139732,"[1.2864517064170542, 103.82772952139732]",4.4
1996,Jumpstart,Jumpstart - Sprout Hub,1.284562475,103.8193729,"[1.284562475, 103.8193729]",
1997,Carne,CARNE - Amoy Street [Islandwide Delivery],1.28107,103.84699,"[1.28107, 103.84699]",3.6
1998,Shell Select,Shell Select - Outram Road,1.286791,103.8345088,"[1.286791, 103.8345088]",4.8
1999,Porridge Pot,Porridge Pot  - Redhill Food Centre [Stall 71],1.28750288,103.8181536,"[1.28750288, 103.8181536]",4.7
2000,Pezzo,Pezzo - Tiong Bahru,1.2865343,103.8271738,"[1.2865343, 103.8271738]",4.0
2001,Eng Chee Tong Medical Hall,Eng Chee Tong Medical Hall - Redhill Lane,1.2881316,103.818662,"[1.2881316, 103.818662]",1.0
2002,Cheek Bistro,Cheek Bistro - 21 Boon Tat Street [Islandwide Delivery],1.2811666666666668,103.8484619,"[1.2811666666666668, 103.8484619]",4.7
2003,Watsons,Watsons - 100AM,1.2745238531046796,103.84344448,"[1.2745238531046796, 103.84344448]",4.8
2004,Warung Bang Jali By Emma's Kitchen,Warung Bang Jali By Emma's Kitchen - Bukit Merah View [Stall 61],1.28540615,103.8222828,"[1.28540615, 103.8222828]",4.3
2005,Sampo Korean Restaurant,Sampo Korean Restaurant - 132 Telok Ayer Street,1.2816364,103.8481447,"[1.2816364, 103.8481447]",4.8
2006,Old Chang Kee,Old Chang Kee - Tiong Bahru Plaza,1.2865622511046837,103.82711874517224,"[1.2865622511046837, 103.82711874517224]",4.5
2007,Bun Times,Bun Times - Tiong Bahru Plaza,1.2865829781959377,103.82720779466536,"[1.2865829781959377, 103.82720779466536]",4.5
2008,Chai's Fish Soup,Chai's Fish Soup - Tiong Bahru Plaza,1.2865393384615385,103.82688413333334,"[1.2865393384615385, 103.82688413333334]",4.0
2009,Havelock Teochew Porridge,Havelock Teochew Porridge - Lim Joo Hin Eating House,1.2892265863068246,103.82805684355446,"[1.2892265863068246, 103.82805684355446]",4.4
2010,Free The Robot,Free The Robot - Telok Ayer Street [Islandwide Delivery],1.2820106,103.848149,"[1.2820106, 103.848149]",
2011,Natrahea,Natrahea - Tiong Bahru Plaza,1.28626,103.82797,"[1.28626, 103.82797]",
2012,Liho Tea,LiHO Tea - Tiong Bahru Plaza,1.2866049759387863,103.82737738628452,"[1.2866049759387863, 103.82737738628452]",4.6
2013,California Supreme Pizza,California Supreme Pizza - Tiong Bahru Plaza,1.286659552,103.8278224,"[1.286659552, 103.8278224]",
2014,Every,Every - Isetan Office Building,1.28941066,103.8319364,"[1.28941066, 103.8319364]",4.6
2015,Zhen Neng Zhu Ban Mian & Fish Soup,Zhen Neng Zhu Ban Mian & Fish Soup - Tiong Bahru View,1.28649199217038,103.829740482979,"[1.28649199217038, 103.829740482979]",4.5
2016,Bao Makers,Bao Makers - 4 Jiak Chuan Road,1.2797702,103.8416882,"[1.2797702, 103.8416882]",4.1
2017,Margaret Drive Chicken Rice,Margaret Drive Chicken Rice - Havelock Road,1.287790581976992,103.82939535901228,"[1.287790581976992, 103.82939535901228]",1.0
2018,Refill,Refill - Chin Swee Road,1.2845227,103.83726,"[1.2845227, 103.83726]",
2019,Pablo's Kitchen,Pablo's Kitchen - Stirling Road,1.29751,103.80223,"[1.29751, 103.80223]",
2020,The Guild,The Guild - Keong Saik Road,1.28050445,103.8416748,"[1.28050445, 103.8416748]",5.0
2021,Pizza Hut,Pizza Hut - Kreta Ayer Road,1.280635572728812,103.8423269482148,"[1.280635572728812, 103.8423269482148]",4.3
2022,DocDonald,DocDonald - Beo Crescent,1.28912,103.82739972557351,"[1.28912, 103.82739972557351]",
2023,Yanxi Palace Steamboat,Yanxi Palace Steamboat - Chin Swee Road,1.285470874971948,103.83906,"[1.285470874971948, 103.83906]",1.0
2024,Fun Toast,Fun Toast - Tiong Bahru Plaza,1.2863148,103.82783008948428,"[1.2863148, 103.82783008948428]",4.5
2025,ABC Food Corner Pte Ltd,ABC Food Corner Pte Ltd - Tiong Bahru,1.28960494,103.82731058703702,"[1.28960494, 103.82731058703702]",4.2
2026,Dickey's Barbeque Pit,Dickey's Barbeque Pit - Cross Street Exchange ,1.28323634,103.8469392,"[1.28323634, 103.8469392]",3.7
2027,Guoco Tower L1 - Mix & Match,Guoco Tower L1 - Mix & Match,1.2766803469507462,103.84629103285695,"[1.2766803469507462, 103.84629103285695]",
2028,SG Taps,SG Taps - Duxton Hill,1.2790578447037868,103.84276193265472,"[1.2790578447037868, 103.84276193265472]",5.0
2029,S-Pearl Tea,S-Pearl Tea - THKFSC @ Tanjong Pagar,1.285496376,103.8280267,"[1.285496376, 103.8280267]",5.0
2030,Princess Terrace,Princess Terrace - Copthorne King's Hotel,1.2884367894776374,103.83679535,"[1.2884367894776374, 103.83679535]",4.0
2031,Jjak & Co.,Jjak & Co. - Cross Street ,1.283504,103.847032,"[1.283504, 103.847032]",4.1
2032,Tong Ah Eating House,Tong Ah Eating House - Keong Saik Road,1.2801068,103.8415827,"[1.2801068, 103.8415827]",3.0
2033,Burger King,Burger King - Tiong Bahru Plaza,1.2863475,103.82769122614596,"[1.2863475, 103.82769122614596]",4.0
2034,Grids & Circles,Grids & Circles - South Bridge Road ,1.2835800098207564,103.84593406835468,"[1.2835800098207564, 103.84593406835468]",4.0
2035,Nature's Green,Nature's Green - New Bridge Centre,1.282541,103.842581,"[1.282541, 103.842581]",
